nm       Rad_ref     Rad_target  Reflectance
341.3  3365.72  272.37  8.09
342.7  3951.09  311.30  7.88
344.2  4460.82  336.52  7.54
345.6  5201.22  384.44  7.39
347.1  6032.30  418.86  6.94
348.5  7102.73  489.49  6.89
350.0  8206.01  542.81  6.61
351.4  9613.76  631.89  6.57
352.9  11029.20  718.31  6.51
354.3  12019.43  773.87  6.44
355.8  12901.68  814.97  6.32
357.2  13425.95  848.42  6.32
358.7  14057.45  886.19  6.30
360.1  14807.04  927.37  6.26
361.6  16036.96  1004.08  6.26
363.1  17875.92  1120.83  6.27
364.5  19705.14  1233.41  6.26
366.0  20705.97  1306.42  6.31
367.4  21074.63  1329.94  6.31
368.9  21608.16  1367.86  6.33
370.3  21976.41  1399.58  6.37
371.8  21521.08  1381.48  6.42
373.2  20335.52  1319.74  6.49
374.7  20371.34  1335.36  6.56
376.2  22627.35  1485.39  6.56
377.6  24534.08  1620.93  6.61
379.1  24597.60  1638.46  6.66
380.5  22323.11  1502.33  6.73
382.0  20250.78  1384.94  6.84
383.4  19615.10  1356.99  6.92
384.9  20794.84  1446.13  6.95
386.4  22130.90  1550.87  7.01
387.8  22842.00  1617.30  7.08
389.3  24179.38  1734.46  7.17
390.7  24976.77  1797.13  7.20
392.2  24092.95  1746.29  7.25
393.6  23337.95  1709.76  7.33
395.1  23356.50  1726.38  7.39
396.5  25585.23  1905.02  7.45
398.0  29253.78  2195.19  7.50
399.5  35026.42  2640.06  7.54
400.9  38636.93  2926.20  7.57
402.4  39256.20  2989.98  7.62
403.8  38250.30  2927.90  7.65
405.3  37626.60  2909.28  7.73
406.8  38438.40  2995.08  7.79
408.2  39449.60  3095.40  7.85
409.7  39958.95  3149.02  7.88
411.1  39913.86  3167.62  7.94
412.6  40317.17  3223.76  8.00
414.0  40737.90  3283.77  8.06
415.5  41191.43  3341.51  8.11
416.9  40975.43  3349.05  8.17
418.4  39871.70  3288.36  8.25
419.8  38774.44  3226.10  8.32
421.3  37911.56  3178.79  8.38
422.7  37405.94  3160.36  8.45
424.2  37006.32  3149.84  8.51
425.6  36966.53  3173.51  8.58
427.1  36616.80  3170.53  8.66
428.5  34788.08  3041.13  8.74
430.0  33300.96  2938.82  8.83
431.5  33793.42  3009.61  8.91
432.9  36099.81  3240.03  8.98
434.4  38337.51  3469.23  9.05
435.8  39964.47  3645.35  9.12
437.2  40979.07  3767.94  9.19
438.7  41571.47  3854.48  9.27
440.1  42529.13  3978.32  9.35
441.6  43944.08  4143.87  9.43
443.0  44782.88  4252.50  9.50
444.5  44782.74  4281.72  9.56
445.9  45342.18  4364.36  9.63
447.4  46426.08  4498.30  9.69
448.8  48458.93  4719.51  9.74
450.3  50214.55  4918.72  9.80
451.7  50650.08  4983.89  9.84
453.1  49946.40  4937.31  9.89
454.6  49072.87  4872.58  9.93
456.0  49338.82  4921.64  9.98
457.5  49416.08  4945.02  10.01
458.9  49393.73  4958.13  10.04
460.4  49725.00  5003.71  10.06
461.8  50596.67  5109.09  10.10
463.2  51071.04  5174.17  10.13
464.7  50899.62  5174.20  10.17
466.1  50183.89  5115.18  10.19
467.5  49487.63  5060.67  10.23
469.0  48697.61  4996.11  10.26
470.4  48459.78  4990.90  10.30
471.9  48599.62  5022.13  10.33
473.3  49240.63  5104.38  10.37
474.7  49560.96  5154.51  10.40
476.2  50030.02  5224.48  10.44
477.6  50831.76  5332.18  10.49
479.0  51917.76  5469.12  10.53
480.5  52240.20  5531.12  10.59
481.9  51676.31  5498.41  10.64
483.3  50242.08  5374.66  10.70
484.8  47474.12  5104.44  10.75
486.2  45175.00  4888.00  10.82
487.6  44602.58  4855.82  10.89
489.0  46419.52  5083.97  10.95
490.5  47952.45  5281.29  11.01
491.9  48680.87  5397.59  11.09
493.3  48899.51  5459.37  11.16
494.8  49187.20  5529.60  11.24
496.2  49224.89  5572.93  11.32
497.6  48418.65  5520.06  11.40
499.0  47508.25  5455.87  11.48
500.5  46452.93  5371.58  11.56
501.9  45883.53  5345.41  11.65
503.3  45627.08  5354.51  11.74
504.7  46260.23  5469.61  11.82
506.1  46891.46  5579.87  11.90
507.6  47432.55  5682.90  11.98
509.0  47596.85  5746.90  12.07
510.4  47980.93  5834.53  12.16
511.8  47964.76  5873.69  12.25
513.2  47415.38  5849.74  12.34
514.7  46496.84  5778.86  12.43
516.1  44873.40  5615.32  12.51
517.5  43624.09  5499.39  12.61
518.9  43495.93  5523.85  12.70
520.3  44846.30  5734.45  12.79
521.7  45990.18  5923.61  12.88
523.2  46611.49  6050.05  12.98
524.6  46748.30  6109.92  13.07
526.0  46426.90  6108.94  13.16
527.4  46391.40  6145.43  13.25
528.8  47206.68  6296.18  13.34
530.2  48126.12  6464.47  13.43
531.6  48194.40  6521.76  13.53
533.0  47931.35  6533.95  13.63
534.4  47926.14  6581.02  13.73
535.8  47801.52  6611.44  13.83
537.2  47283.39  6587.66  13.93
538.7  46432.20  6514.87  14.03
540.1  45741.88  6463.80  14.13
541.5  45516.04  6474.89  14.23
542.9  45954.52  6579.29  14.32
544.3  46357.95  6680.73  14.41
545.7  46563.09  6755.93  14.51
547.1  46594.24  6804.67  14.60
548.5  46856.25  6885.00  14.69
549.9  47103.64  6966.38  14.79
551.3  47187.00  7020.72  14.88
552.7  47516.70  7115.64  14.98
554.1  47657.20  7181.84  15.07
555.5  47617.00  7221.18  15.17
556.9  47023.20  7175.52  15.26
558.2  46384.38  7124.36  15.36
559.7  45919.23  7099.14  15.46
561.0  45688.83  7110.29  15.56
562.4  45454.21  7120.07  15.66
563.8  44954.99  7082.05  15.75
565.2  44437.20  7039.27  15.84
566.6  43854.13  6982.97  15.92
568.0  43399.67  6946.76  16.01
569.4  42813.44  6887.12  16.09
570.8  42756.94  6911.08  16.16
572.2  43021.41  6984.35  16.23
573.6  43247.75  7052.05  16.31
575.0  43214.59  7079.76  16.38
576.3  43063.02  7083.38  16.45
577.7  43093.35  7117.68  16.52
579.1  43395.68  7196.58  16.58
580.5  44000.94  7326.78  16.65
581.9  44611.64  7456.94  16.72
583.2  45051.57  7555.66  16.77
584.6  44814.91  7544.40  16.83
586.0  43754.30  7389.52  16.89
587.4  41407.48  7018.24  16.95
588.8  39031.85  6638.93  17.01
590.2  37420.85  6386.22  17.07
591.5  37665.81  6448.26  17.12
592.9  37881.48  6502.31  17.16
594.3  38233.65  6581.48  17.21
595.7  38466.10  6638.65  17.26
597.0  39182.78  6780.89  17.31
598.4  39866.19  6914.00  17.34
599.8  40415.10  7025.67  17.38
601.2  40966.38  7139.75  17.43
602.5  41540.76  7257.14  17.47
603.9  42114.77  7373.01  17.51
605.3  42478.77  7451.00  17.54
606.7  42517.64  7474.31  17.58
608.0  42352.59  7461.43  17.62
609.4  42148.65  7438.54  17.65
610.8  41969.20  7419.04  17.68
612.1  41681.26  7377.88  17.70
613.5  41432.13  7348.16  17.74
614.9  40943.07  7275.11  17.77
616.2  40686.71  7243.36  17.80
617.6  40568.61  7234.93  17.83
619.0  40784.18  7279.98  17.85
620.3  40753.55  7287.23  17.88
621.7  40543.75  7263.13  17.91
623.0  40090.38  7194.20  17.94
624.4  39667.95  7130.97  17.98
625.8  39185.87  7057.32  18.01
627.1  38662.44  6976.28  18.04
628.5  38310.40  6928.00  18.08
629.8  38147.20  6916.15  18.13
631.2  38219.58  6945.90  18.17
632.6  38389.65  6988.65  18.20
633.9  38674.08  7053.35  18.24
635.3  39008.55  7133.76  18.29
636.6  39202.94  7195.09  18.35
638.0  39283.06  7239.34  18.43
639.3  39189.40  7245.08  18.49
640.7  38951.44  7218.75  18.53
642.0  38820.97  7206.31  18.56
643.4  38633.10  7178.62  18.58
644.8  38155.80  7103.72  18.62
646.1  37136.07  6931.91  18.67
647.5  35979.97  6729.66  18.70
648.8  35326.10  6623.84  18.75
650.2  35328.98  6635.56  18.78
651.5  35662.91  6717.83  18.84
652.8  35980.57  6791.24  18.87
654.2  35653.26  6740.06  18.90
655.5  34665.31  6557.24  18.92
656.9  34130.32  6464.28  18.94
658.2  34752.24  6589.70  18.96
659.6  36128.43  6854.29  18.97
660.9  37326.64  7078.82  18.96
662.3  37957.26  7199.57  18.97
663.6  38150.10  7236.30  18.97
664.9  38214.95  7252.28  18.98
666.3  38193.75  7246.75  18.97
667.6  38132.56  7238.47  18.98
669.0  37950.83  7211.32  19.00
670.3  37721.45  7174.83  19.02
671.6  37542.47  7150.23  19.05
673.0  37402.25  7136.91  19.08
674.3  37291.00  7127.12  19.11
675.6  37212.62  7123.55  19.14
677.0  37166.66  7125.25  19.17
678.3  37101.00  7129.65  19.22
679.6  36962.43  7123.39  19.27
681.0  36822.86  7116.32  19.33
682.3  36661.20  7111.92  19.40
683.6  36330.53  7080.78  19.49
685.0  35226.63  6901.31  19.59
686.3  33092.10  6520.96  19.71
687.6  31130.17  6178.35  19.85
689.0  30311.60  6063.20  20.00
690.3  30506.70  6153.90  20.17
691.6  30720.17  6243.33  20.32
692.9  30392.69  6221.59  20.47
694.2  30136.32  6215.62  20.63
695.6  30630.08  6367.10  20.79
696.9  31447.62  6588.62  20.95
698.2  31820.04  6705.61  21.07
699.5  31475.50  6669.95  21.19
700.9  30995.97  6601.52  21.30
702.2  31120.11  6666.48  21.42
703.5  31747.06  6842.31  21.55
704.8  32506.08  7042.42  21.66
706.1  33170.59  7218.47  21.76
707.5  33740.92  7371.37  21.85
708.8  34259.40  7512.96  21.93
710.1  34700.40  7641.48  22.02
711.4  35044.47  7747.29  22.11
712.7  35107.19  7785.13  22.18
714.0  34498.50  7676.18  22.25
715.3  32376.42  7223.15  22.31
716.7  28755.50  6434.50  22.38
718.0  24941.07  5602.24  22.46
719.3  22994.40  5187.47  22.56
720.6  23719.56  5375.63  22.66
721.9  25402.02  5774.80  22.73
723.2  26105.63  5942.13  22.76
724.5  25773.02  5886.56  22.84
725.8  25218.32  5775.92  22.90
727.1  25149.28  5781.08  22.99
728.4  25570.55  5894.48  23.05
729.7  26299.99  6083.09  23.13
731.0  27820.67  6454.32  23.20
732.3  30306.93  7047.90  23.26
733.6  32912.00  7671.40  23.31
735.0  34949.38  8162.38  23.35
736.2  36222.98  8478.40  23.41
737.5  37124.64  8714.16  23.47
738.8  37990.04  8942.48  23.54
740.1  38984.19  9198.00  23.59
741.4  40007.68  9461.76  23.65
742.7  41056.38  9730.33  23.70
744.0  41948.16  9962.50  23.75
745.3  42617.40  10144.37  23.80
746.6  43132.15  10291.68  23.86
747.9  43378.83  10376.48  23.92
749.2  43521.49  10436.60  23.98
750.5  43567.35  10470.23  24.03
751.8  43653.96  10515.06  24.09
753.1  43826.43  10578.58  24.14
754.4  43934.72  10628.10  24.19
755.7  43964.03  10656.32  24.24
756.9  42678.23  10357.25  24.27
758.2  38074.68  9245.67  24.28
759.5  30652.42  7446.34  24.29
760.8  23574.40  5747.32  24.38
762.1  19832.45  4858.87  24.50
763.4  19748.96  4861.78  24.62
764.7  23164.75  5713.61  24.67
765.9  28186.91  6966.59  24.72
767.2  33495.36  8289.94  24.75
768.5  37880.96  9389.27  24.79
769.8  40851.78  10137.36  24.81
771.0  42514.80  10561.39  24.84
772.3  43273.86  10771.68  24.89
773.6  43633.40  10876.16  24.93
774.9  43796.07  10941.68  24.98
776.1  43859.65  10975.00  25.02
777.4  43866.99  10995.90  25.07
778.7  43812.48  10997.50  25.10
780.0  43803.76  11007.92  25.13
781.2  43707.35  11007.27  25.18
782.5  43532.69  10980.66  25.22
783.8  43236.60  10917.54  25.25
785.0  42677.28  10798.27  25.30
786.3  41870.61  10609.24  25.34
787.6  40791.10  10355.38  25.39
788.8  39728.05  10097.27  25.42
790.1  38960.64  9913.90  25.45
791.4  38662.63  9856.02  25.49
792.6  38698.88  9882.75  25.54
793.9  38775.92  9918.69  25.58
795.2  38635.25  9896.25  25.61
796.4  38422.52  9851.29  25.64
797.7  38243.20  9825.43  25.69
798.9  37955.34  9763.41  25.72
800.2  37561.88  9672.86  25.75
801.4  37161.18  9587.05  25.80
802.7  36942.36  9544.04  25.83
804.0  37141.19  9610.92  25.88
805.2  37606.50  9747.28  25.92
806.5  37892.30  9822.94  25.92
807.7  37692.32  9782.84  25.95
809.0  36832.32  9576.58  26.00
810.2  35291.85  9190.82  26.04
811.5  33114.39  8621.19  26.03
812.7  30374.28  7919.53  26.07
813.9  27479.99  7169.26  26.09
815.2  24985.68  6537.18  26.16
816.4  23418.78  6141.44  26.22
817.7  23212.59  6100.37  26.28
818.9  24066.90  6328.08  26.29
820.2  24996.08  6574.95  26.30
821.4  25471.25  6709.65  26.34
822.6  25562.10  6738.72  26.36
823.9  26257.98  6937.79  26.42
825.1  26994.86  7135.36  26.43
826.3  27609.87  7307.08  26.47
827.6  27920.97  7391.30  26.47
828.8  27851.98  7381.06  26.50
830.1  27856.48  7393.04  26.54
831.3  28198.92  7493.12  26.57
832.5  28918.32  7697.24  26.62
833.8  29925.28  7974.41  26.65
835.0  31010.85  8269.56  26.67
836.2  32153.60  8580.99  26.69
837.4  33189.66  8866.76  26.72
838.7  34060.10  9095.70  26.70
839.9  34781.82  9304.24  26.75
841.1  35359.74  9475.01  26.80
842.3  35882.07  9631.50  26.84
843.5  36331.20  9752.35  26.84
844.8  36773.52  9872.35  26.85
846.0  37017.72  9960.77  26.91
847.2  37027.08  9966.80  26.92
848.4  36769.97  9904.89  26.94
849.7  36404.00  9800.96  26.92
850.9  35844.00  9653.16  26.93
852.1  35266.67  9511.17  26.97
853.3  34803.70  9400.19  27.01
854.5  34770.18  9397.52  27.03
855.7  35200.33  9534.11  27.09
856.9  35820.72  9699.77  27.08
858.1  36504.05  9885.59  27.08
859.3  36898.27  10008.07  27.12
860.5  37019.99  10050.04  27.15
861.8  37010.53  10053.87  27.16
863.0  36732.85  9977.58  27.16
864.2  36213.03  9854.93  27.21
865.4  35620.06  9697.30  27.22
866.6  35258.30  9612.47  27.26
867.8  35245.95  9610.79  27.27
869.0  35500.89  9697.24  27.32
870.2  35875.18  9809.56  27.34
871.4  36083.88  9866.12  27.34
872.6  36040.06  9859.33  27.36
873.8  35889.03  9841.73  27.42
875.0  35770.02  9822.16  27.46
876.1  35654.75  9793.96  27.47
877.3  35514.36  9758.95  27.48
878.5  35319.38  9719.89  27.52
879.7  35107.85  9664.57  27.53
880.9  34931.94  9635.32  27.58
882.1  34783.77  9602.41  27.61
883.3  34629.60  9559.98  27.61
884.5  34440.01  9509.56  27.61
885.6  34260.95  9460.29  27.61
886.8  34032.11  9422.05  27.69
888.0  33786.17  9360.31  27.70
889.2  33371.52  9251.66  27.72
890.4  32628.21  9037.06  27.70
891.5  31282.02  8680.06  27.75
892.7  29323.13  8142.71  27.77
893.9  26855.79  7495.26  27.91
895.1  24254.78  6744.01  27.80
896.2  21864.64  6064.08  27.73
897.4  19905.60  5512.32  27.69
898.6  18439.58  5121.16  27.77
899.8  17954.86  4997.39  27.83
900.9  18344.93  5122.51  27.92
902.1  19283.84  5388.74  27.94
903.3  20351.43  5708.11  28.05
904.4  20857.98  5868.62  28.14
905.6  20487.88  5747.90  28.06
906.8  19439.28  5451.94  28.05
907.9  18188.80  5105.86  28.07
909.1  17157.40  4810.67  28.04
910.3  16520.43  4637.78  28.07
911.4  16190.38  4560.57  28.17
912.6  15823.63  4487.40  28.36
913.7  15439.63  4368.11  28.29
914.9  15319.59  4313.77  28.16
916.0  15611.15  4414.69  28.28
917.2  16392.48  4644.54  28.33
918.4  17397.68  4949.34  28.45
919.5  18435.56  5256.42  28.51
920.7  19243.84  5420.80  28.17
921.8  19465.88  5505.50  28.28
923.0  19047.14  5418.03  28.45
924.1  18145.51  5175.13  28.52
925.3  16849.80  4769.28  28.30
926.4  15205.32  4304.66  28.31
927.5  13081.45  3679.96  28.13
928.7  10702.83  3014.27  28.16
929.8  8328.98  2342.80  28.13
931.0  6219.80  1752.44  28.18
932.1  4721.58  1342.41  28.43
933.3  3872.04  1038.84  26.83
934.4  3467.16  953.47  27.50
935.5  3387.56  932.81  27.54
936.7  3697.41  1039.27  28.11
937.8  4176.67  1161.32  27.80
939.0  4723.81  1297.75  27.47
940.1  4974.95  1407.81  28.30
941.2  5074.59  1371.22  27.02
942.4  4961.70  1345.17  27.11
943.5  4742.64  1309.87  27.62
944.6  4736.32  1305.38  27.56
945.8  4730.00  1277.10  27.00
946.9  4654.27  1293.52  27.79
948.0  4760.91  1347.89  28.31
949.1  5003.07  1405.93  28.10
950.3  5258.12  1467.08  27.90
951.4  5460.79  1531.69  28.05
952.5  5605.52  1558.61  27.80
953.6  5758.04  1657.19  28.78
954.8  5990.94  1717.88  28.67
955.9  6223.98  1793.10  28.81
957.0  6712.64  1907.00  28.41
958.1  7214.18  2023.11  28.04
959.2  7672.68  2116.04  27.58
960.4  8075.74  2297.84  28.45
961.5  8568.00  2518.99  29.40
962.6  9353.97  2753.24  29.43
963.7  10279.61  2947.43  28.67
964.8  11357.67  3266.50  28.76
966.0  12552.15  3591.85  28.62
967.1  13836.76  3961.89  28.63
968.2  15201.82  4396.20  28.92
969.3  16396.68  4739.17  28.90
970.4  17144.40  4935.84  28.79
971.5  17236.22  5001.88  29.02
972.6  16725.60  4924.76  29.44
973.8  16274.44  4762.67  29.26
974.9  16164.75  4689.01  29.01
976.0  16146.78  4704.18  29.13
977.1  16782.72  4877.48  29.06
978.2  17324.16  5034.83  29.06
979.3  18285.64  5360.06  29.31
980.4  19304.04  5675.96  29.40
981.5  20381.49  5950.80  29.20
982.6  20981.55  6156.63  29.34
983.7  22091.30  6374.92  28.86
984.8  22671.60  6719.93  29.64
985.9  23743.70  6937.87  29.22
987.0  24480.42  7118.42  29.08
988.1  25265.09  7274.91  28.79
989.2  25546.56  7441.82  29.13
990.3  25657.65  7659.00  29.85
991.5  25977.30  7852.68  30.23
992.5  26602.38  7753.87  29.15
993.7  26904.78  7815.20  29.05
994.8  26786.38  7969.50  29.75
995.9  27349.18  8043.88  29.41
997.0  28050.17  8151.33  29.06
998.1  28214.97  8139.89  28.85
999.2  28134.54  7867.25  27.96
1000.3  27397.26  7975.04  29.11
