nm       Rad_ref     Rad_target  Reflectance
341.3  29.18  3.89  13.33
342.7  39.91  -2.00  -5.00
344.2  19.57  3.91  20.00
345.6  9.42  5.65  60.00
347.1  8.95  3.58  40.00
348.5  1.00  10.27  1026.90
350.0  7.98  7.98  100.00
351.4  22.57  9.03  40.00
352.9  35.35  4.24  12.00
354.3  25.71  2.57  10.00
355.8  17.82  -1.19  -6.67
357.2  -5.55  0.00  -0.00
358.7  5.24  2.10  40.00
360.1  4.82  6.75  140.00
361.6  13.31  0.89  6.67
363.1  37.98  0.84  2.22
364.5  57.33  0.82  1.43
366.0  66.90  1.57  2.35
367.4  48.13  4.44  9.23
368.9  17.70  1.42  8.00
370.3  3.49  1.39  40.00
371.8  3.54  0.71  20.00
373.2  10.51  1.40  13.33
374.7  13.64  2.05  15.00
376.2  16.99  0.68  4.00
377.6  20.64  0.00  0.00
379.1  13.85  2.77  20.00
380.5  17.09  1.37  8.00
382.0  16.78  0.00  0.00
383.4  16.66  2.00  12.00
384.9  13.49  2.02  15.00
386.4  10.23  2.73  26.67
387.8  16.88  6.75  40.00
389.3  26.44  0.66  2.50
390.7  26.14  3.27  12.50
392.2  26.60  3.33  12.50
393.6  23.98  4.11  17.14
395.1  24.15  2.76  11.43
396.5  27.06  5.41  20.00
398.0  33.10  2.65  8.00
399.5  36.41  6.62  18.18
400.9  100.95  4.04  4.00
402.4  383.07  6.10  1.59
403.8  770.50  3.35  0.43
405.3  848.10  3.30  0.39
406.8  534.60  3.30  0.62
408.2  224.45  5.36  2.39
409.7  125.34  8.13  6.49
411.1  67.80  10.85  16.00
412.6  60.35  9.39  15.56
414.0  66.50  10.64  16.00
415.5  80.10  10.68  13.33
416.9  80.70  8.74  10.83
418.4  83.75  12.06  14.40
419.8  84.76  13.69  16.15
421.3  90.70  16.89  18.62
422.7  95.12  20.21  21.25
424.2  98.96  21.49  21.71
425.6  108.20  22.72  21.00
427.1  112.34  28.22  25.12
428.5  128.14  32.66  25.49
430.0  135.66  36.18  26.67
431.5  182.86  41.03  22.44
432.9  437.33  47.71  10.91
434.4  1893.60  56.81  3.00
435.8  2662.30  67.97  2.55
437.2  2444.81  83.13  3.40
438.7  860.95  98.04  11.39
440.1  246.75  112.45  45.57
441.6  161.36  134.29  83.23
443.0  156.94  157.61  100.43
444.5  153.46  181.86  118.51
445.9  152.40  206.06  135.21
447.4  157.06  229.21  145.94
448.8  162.98  249.08  152.83
450.3  168.13  265.62  157.98
451.7  168.48  277.06  164.44
453.1  170.10  280.98  165.19
454.6  162.48  276.69  170.29
456.0  163.28  267.84  164.04
457.5  161.46  253.37  156.92
458.9  159.90  235.24  147.12
460.4  156.06  216.65  138.82
461.8  150.43  202.31  134.49
463.2  149.04  188.47  126.46
464.7  148.29  177.00  119.36
466.1  155.44  164.42  105.77
467.5  151.58  155.45  102.55
469.0  143.07  145.96  102.02
470.4  132.18  137.27  103.86
471.9  129.36  129.04  99.76
473.3  132.81  122.50  92.24
474.7  132.18  116.31  88.00
476.2  130.83  111.21  85.00
477.6  131.14  106.49  81.20
479.0  153.90  107.89  70.11
480.5  190.90  107.90  56.52
481.9  265.84  105.66  39.75
483.3  423.36  104.50  24.68
484.8  661.34  105.75  15.99
486.2  913.25  111.48  12.21
487.6  1081.41  115.48  10.68
489.0  1116.87  121.78  10.90
490.5  1061.55  127.26  11.99
491.9  970.07  135.15  13.93
493.3  858.11  144.83  16.88
494.8  737.60  152.32  20.65
496.2  631.62  159.18  25.20
497.6  540.23  164.43  30.44
499.0  441.04  171.46  38.88
500.5  328.76  181.19  55.12
501.9  234.63  190.67  81.27
503.3  171.11  200.36  117.09
504.7  131.50  208.95  158.90
506.1  107.44  217.74  202.67
507.6  99.75  226.29  226.86
509.0  93.89  233.86  249.09
510.4  95.31  240.97  252.84
511.8  96.56  248.22  257.06
513.2  100.64  252.60  250.99
514.7  102.06  256.57  251.39
516.1  101.53  259.97  256.06
517.5  99.53  263.11  264.35
518.9  95.64  267.80  280.00
520.3  96.95  275.06  283.71
521.7  94.33  279.47  296.29
523.2  92.05  283.25  307.71
524.6  91.24  286.04  313.52
526.0  98.09  289.98  295.64
527.4  100.24  293.78  293.09
528.8  106.14  296.22  279.08
530.2  120.75  300.18  248.60
531.6  168.00  302.40  180.00
533.0  219.42  305.04  139.02
534.4  279.66  305.97  109.41
535.8  384.93  307.01  79.76
537.2  646.80  307.69  47.57
538.7  1204.98  309.62  25.70
540.1  2404.40  310.93  12.93
541.5  4130.98  314.09  7.60
542.9  5752.00  318.28  5.53
544.3  7078.54  322.77  4.56
545.7  6643.87  327.99  4.94
547.1  5286.26  331.78  6.28
548.5  3036.63  335.75  11.06
549.9  1995.01  340.55  17.07
551.3  1515.15  346.50  22.87
552.7  1156.05  352.80  30.52
554.1  797.80  357.43  44.80
555.5  479.19  362.10  75.57
556.9  281.88  368.28  130.65
558.2  190.73  374.85  196.53
559.7  150.42  377.61  251.04
561.0  129.68  379.02  292.28
562.4  115.65  381.74  330.10
563.8  106.49  384.72  361.29
565.2  98.04  389.20  396.98
566.6  95.34  393.16  412.38
568.0  95.13  399.55  420.00
569.4  92.66  405.67  437.80
570.8  98.31  410.42  417.47
572.2  115.52  416.53  360.59
573.6  162.66  421.56  259.16
575.0  411.06  426.86  103.84
576.3  735.74  433.36  58.90
577.7  1198.79  439.90  36.70
579.1  1380.60  447.69  32.43
580.5  1469.33  455.29  30.99
581.9  1447.61  465.82  32.18
583.2  1494.00  476.59  31.90
584.6  1596.99  486.35  30.45
586.0  1803.53  492.01  27.28
587.4  1867.37  500.17  26.78
588.8  1765.39  507.20  28.73
590.2  1418.59  513.14  36.17
591.5  1354.08  520.07  38.41
592.9  1311.77  525.53  40.06
594.3  1160.25  531.26  45.79
595.7  861.10  536.55  62.31
597.0  757.55  544.18  71.83
598.4  847.67  552.01  65.12
599.8  891.61  559.58  62.76
601.2  786.44  564.92  71.83
602.5  618.24  569.11  92.05
603.9  558.39  574.55  102.89
605.3  629.44  578.86  91.96
606.7  878.98  581.92  66.20
608.0  1701.91  583.18  34.27
609.4  4922.52  584.49  11.87
610.8  8589.09  584.58  6.81
612.1  10199.05  582.29  5.71
613.5  8230.95  580.99  7.06
614.9  5176.50  576.11  11.13
616.2  3251.13  570.41  17.54
617.6  2121.29  565.47  26.66
619.0  1647.20  559.21  33.95
620.3  1506.10  549.49  36.48
621.7  1443.75  540.63  37.45
623.0  1346.48  535.14  39.74
624.4  1234.80  530.78  42.98
625.8  1145.73  522.86  45.64
627.1  1087.56  515.16  47.37
628.5  1200.00  506.24  42.19
629.8  1488.49  498.46  33.49
631.2  1513.85  488.75  32.29
632.6  1213.08  480.91  39.64
