nm       Rad_ref     Rad_target  Reflectance
341.3  29.18  0.00  0.00
342.7  39.91  -9.98  -25.00
344.2  19.57  -5.87  -30.00
345.6  9.42  -5.65  -60.00
347.1  8.95  1.79  20.00
348.5  1.00  8.56  855.75
350.0  7.98  12.77  160.00
351.4  22.57  4.51  20.00
352.9  35.35  -4.24  -12.00
354.3  25.71  -3.86  -15.00
355.8  17.82  8.32  46.67
357.2  -5.55  6.66  -120.00
358.7  5.24  0.00  0.00
360.1  4.82  -1.93  -40.00
361.6  13.31  1.77  13.33
363.1  37.98  3.38  8.89
364.5  57.33  5.73  10.00
366.0  66.90  0.00  0.00
367.4  48.13  -1.48  -3.08
368.9  17.70  -0.71  -4.00
370.3  3.49  -1.39  -40.00
371.8  3.54  0.00  0.00
373.2  10.51  2.10  20.00
374.7  13.64  2.73  20.00
376.2  16.99  2.72  16.00
377.6  20.64  2.06  10.00
379.1  13.85  1.39  10.00
380.5  17.09  0.00  0.00
382.0  16.78  -0.67  -4.00
383.4  16.66  0.00  0.00
384.9  13.49  2.02  15.00
386.4  10.23  5.46  53.33
387.8  16.88  2.70  16.00
389.3  26.44  0.66  2.50
390.7  26.14  0.00  0.00
392.2  26.60  3.33  12.50
393.6  23.98  1.37  5.71
395.1  24.15  -0.69  -2.86
396.5  27.06  3.38  12.50
398.0  33.10  0.66  2.00
399.5  36.41  1.99  5.45
400.9  100.95  2.02  2.00
402.4  383.07  2.71  0.71
403.8  770.50  2.68  0.35
405.3  848.10  1.98  0.23
406.8  534.60  3.30  0.62
408.2  224.45  6.03  2.69
409.7  125.34  5.42  4.32
411.1  67.80  6.10  9.00
412.6  60.35  6.71  11.11
414.0  66.50  4.66  7.00
415.5  80.10  6.68  8.33
416.9  80.70  8.07  10.00
418.4  83.75  4.02  4.80
419.8  84.76  9.78  11.54
421.3  90.70  10.01  11.03
422.7  95.12  11.30  11.88
424.2  98.96  13.01  13.14
425.6  108.20  17.85  16.50
427.1  112.34  18.81  16.74
428.5  128.14  20.60  16.08
430.0  135.66  25.70  18.95
431.5  182.86  28.99  15.85
432.9  437.33  34.32  7.85
434.4  1893.60  42.61  2.25
435.8  2662.30  50.32  1.89
437.2  2444.81  60.26  2.46
438.7  860.95  70.59  8.20
440.1  246.75  83.54  33.86
441.6  161.36  98.20  60.86
443.0  156.94  114.08  72.69
444.5  153.46  129.95  84.68
445.9  152.40  146.05  95.83
447.4  157.06  162.96  103.76
448.8  162.98  177.43  108.87
450.3  168.13  191.58  113.94
451.7  168.48  198.43  117.78
453.1  170.10  200.03  117.59
454.6  162.48  196.24  120.78
456.0  163.28  189.97  116.35
457.5  161.46  181.64  112.50
458.9  159.90  168.82  105.58
460.4  156.06  155.14  99.41
461.8  150.43  144.29  95.92
463.2  149.04  134.76  90.42
464.7  148.29  123.68  83.40
466.1  155.44  113.78  73.20
467.5  151.58  106.43  70.21
469.0  143.07  98.70  68.99
470.4  132.18  92.68  70.12
471.9  129.36  87.39  67.56
473.3  132.81  80.31  60.47
474.7  132.18  77.13  58.35
476.2  130.83  72.89  55.71
477.6  131.14  70.15  53.49
479.0  153.90  68.69  44.63
480.5  190.90  67.73  35.48
481.9  265.84  67.30  25.32
483.3  423.36  67.20  15.87
484.8  661.34  64.97  9.82
486.2  913.25  68.25  7.47
