nm       Rad_ref     Rad_target  Reflectance
341.3  3779.83  1595.31  42.21
342.7  4304.58  1835.86  42.65
344.2  4919.20  2034.76  41.36
345.6  5680.42  2280.25  40.14
347.1  6623.00  2541.80  38.38
348.5  7726.20  2875.32  37.22
350.0  8894.79  3240.90  36.44
351.4  10381.05  3716.12  35.80
352.9  11918.00  4185.44  35.12
354.3  13020.28  4537.82  34.85
355.8  13950.51  4858.92  34.83
357.2  14515.82  5074.99  34.96
358.7  15203.71  5352.73  35.21
360.1  16029.94  5668.32  35.36
361.6  17385.20  6146.91  35.36
363.1  19399.94  6887.04  35.50
364.5  21387.60  7649.46  35.77
366.0  22474.47  8106.10  36.07
367.4  22902.61  8338.03  36.41
368.9  23505.60  8658.84  36.84
370.3  23946.93  8914.63  37.23
371.8  23452.20  8858.71  37.77
373.2  22175.83  8497.07  38.32
374.7  22242.94  8640.94  38.85
376.2  24753.21  9703.26  39.20
377.6  26861.49  10636.48  39.60
379.1  26938.25  10796.08  40.08
380.5  24459.54  9938.09  40.63
382.0  22238.86  9159.15  41.19
383.4  21575.56  9004.42  41.73
384.9  22884.82  9665.59  42.24
386.4  24366.89  10407.32  42.71
387.8  25167.86  10867.50  43.18
389.3  26704.40  11626.99  43.54
390.7  27587.04  12122.43  43.94
392.2  26628.50  11823.70  44.40
393.6  25844.07  11603.90  44.90
395.1  25894.71  11757.60  45.41
396.5  28422.66  13009.10  45.77
398.0  32523.11  15014.16  46.16
399.5  38982.34  18118.94  46.48
400.9  43004.70  20136.16  46.82
402.4  43740.69  20651.88  47.21
403.8  42659.86  20301.00  47.59
405.3  42032.57  20156.40  47.95
406.8  42975.43  20770.20  48.33
408.2  44153.00  21493.60  48.68
409.7  44792.43  21951.00  49.01
411.1  44767.37  22089.24  49.34
412.6  45268.33  22475.16  49.65
414.0  45780.50  22862.70  49.94
415.5  46314.96  23255.70  50.21
416.9  46095.07  23275.23  50.49
418.4  44909.14  22786.70  50.74
419.8  43721.26  22311.44  51.03
421.3  42766.33  21948.80  51.32
422.7  42243.47  21776.54  51.55
424.2  41822.76  21647.34  51.76
425.6  41796.11  21731.97  52.00
427.1  41434.25  21631.50  52.21
428.5  39381.64  20657.78  52.46
430.0  37733.20  19877.76  52.68
431.5  38324.14  20288.54  52.94
432.9  40977.13  21774.56  53.14
434.4  43552.80  23232.11  53.34
435.8  45414.04  24306.12  53.52
437.2  46588.46  25017.96  53.70
438.7  47271.90  25479.06  53.90
440.1  48393.21  26183.70  54.11
441.6  50042.36  27170.10  54.29
443.0  51030.00  27793.13  54.46
444.5  51045.94  27889.63  54.64
445.9  51711.68  28340.05  54.80
447.4  52972.19  29118.93  54.97
448.8  55297.29  30488.63  55.14
450.3  57328.11  31692.21  55.28
451.7  57853.71  32070.48  55.43
453.1  57073.50  31726.80  55.59
454.6  56104.91  31278.67  55.75
456.0  56452.71  31544.44  55.88
457.5  56568.66  31683.42  56.01
458.9  56558.04  31752.45  56.14
460.4  56968.46  32056.56  56.27
461.8  57992.30  32707.78  56.40
463.2  58569.17  33102.41  56.52
464.7  58408.06  33080.18  56.64
466.1  57607.59  32703.82  56.77
467.5  56852.14  32343.53  56.89
469.0  55968.56  31915.31  57.02
470.4  55732.95  31846.82  57.14
471.9  55920.12  32016.94  57.25
473.3  56691.96  32525.00  57.37
474.7  57077.39  32813.61  57.49
476.2  57645.30  33209.02  57.61
477.6  58599.94  33830.96  57.73
479.0  59879.83  34642.08  57.85
480.5  60276.97  34943.00  57.97
481.9  59651.84  34656.14  58.10
483.3  58022.40  33791.52  58.24
484.8  54853.78  32016.27  58.37
486.2  52222.86  30556.50  58.51
487.6  51577.74  30247.58  58.64
489.0  53702.61  31562.62  58.77
490.5  55485.00  32674.95  58.89
491.9  56341.52  33248.33  59.01
493.3  56608.83  33472.67  59.13
494.8  56969.14  33756.80  59.25
496.2  57037.20  33861.85  59.37
497.6  56128.50  33386.85  59.48
499.0  55099.84  32837.95  59.60
500.5  53895.04  32184.66  59.72
