nm       Rad_ref     Rad_target  Reflectance
341.3    1225.67     856.02      69.84
342.7    1426.78     967.82      67.83
344.2    1633.68     1066.29     65.27
345.6    1912.77     1187.24     62.07
347.1    2246.45     1360.40     60.56
348.5    2601.48     1600.25     61.51
350.0    3009.40     1827.99     60.74
351.4    3558.14     2181.53     61.31
352.9    4086.46     2538.13     62.11
354.3    4441.40     2815.25     63.39
355.8    4740.12     3059.10     64.54
357.2    4980.59     3314.84     66.56
358.7    5268.93     3608.64     68.49
360.1    5504.44     3856.00     70.05
361.6    5894.12     4217.69     71.56
363.1    6574.76     4810.80     73.17
364.5    7338.24     5475.02     74.61
366.0    7712.60     5823.80     75.51
367.4    7782.66     5927.70     76.17
368.9    7936.68     6106.50     76.94
370.3    8147.93     6293.91     77.25
371.8    8035.06     6211.00     77.30
373.2    7554.89     5842.17     77.33
374.7    7484.95     5759.49     76.95
376.2    8317.08     6343.13     76.27
377.6    9085.04     6866.24     75.58
379.1    9144.46     6866.14     75.09
380.5    8260.10     6219.85     75.30
382.0    7444.75     5683.37     76.34
383.4    7228.19     5621.93     77.78
384.9    7723.03     6110.97     79.13
386.4    8252.20     6625.63     80.29
387.8    8464.50     6922.13     81.78
389.3    8890.45     7406.51     83.31
390.7    9191.48     7737.44     84.18
392.2    8917.65     7571.03     84.90
393.6    8737.18     7507.60     85.93
395.1    8742.30     7607.25     87.02
396.5    9464.24     8300.66     87.71
398.0    10704.54    9479.84     88.56
399.5    12892.45    11442.67    88.75
400.9    14378.65    12729.80    88.53
402.4    14654.97    12963.36    88.46
403.8    14173.85    12525.65    88.37
405.3    13836.90    12226.50    88.36
406.8    14147.10    12487.20    88.27
408.2    14612.70    12864.00    88.03
409.7    14847.41    13045.26    87.86
411.1    14749.89    12932.85    87.68
412.6    14814.70    12950.71    87.42
414.0    14925.93    13014.05    87.19
415.5    15145.58    13163.10    86.91
416.9    15134.61    13123.84    86.71
418.4    14746.70    12766.85    86.57
419.8    14288.58    12358.66    86.49
421.3    13879.85    11997.09    86.44
422.7    13655.67    11791.91    86.35
424.2    13504.14    11649.30    86.26
425.6    13511.48    11639.62    86.15
427.1    13446.54    11549.86    85.89
428.5    12801.19    10967.06    85.67
430.0    12195.12    10445.82    85.66
431.5    12300.68    10541.21    85.70
432.9    13099.05    11219.99    85.65
434.4    13921.91    11892.20    85.42
435.8    14541.24    12383.99    85.16
437.2    14950.16    12694.11    84.91
438.7    15224.33    12898.17    84.72
440.1    15622.80    13231.09    84.69
441.6    16140.71    13645.78    84.54
443.0    16358.63    13815.56    84.45
444.5    16274.39    13735.86    84.40
445.9    16446.50    13881.10    84.40
447.4    16845.32    14232.92    84.49
448.8    17622.83    14892.23    84.51
450.3    18332.61    15474.36    84.41
451.7    18565.56    15660.84    84.35
453.1    18344.03    15466.50    84.31
454.6    17983.50    15178.71    84.40
456.0    18007.90    15205.45    84.44
457.5    17982.61    15181.90    84.43
458.9    17950.31    15150.53    84.40
460.4    18080.01    15261.75    84.41
461.8    18423.07    15535.74    84.33
463.2    18642.42    15694.22    84.19
464.7    18642.90    15661.42    84.01
466.1    18415.93    15446.50    83.88
467.5    18139.01    15201.04    83.80
469.0    17783.77    14888.67    83.72
470.4    17628.98    14744.96    83.64
471.9    17642.76    14737.01    83.53
473.3    17864.06    14889.06    83.35
474.7    17992.91    14959.10    83.14
476.2    18180.70    15092.18    83.01
477.6    18517.60    15343.38    82.86
479.0    19013.94    15720.48    82.68
480.5    19209.52    15851.34    82.52
481.9    19005.52    15645.57    82.32
483.3    18406.08    15128.40    82.19
484.8    17307.62    14196.49    82.02
486.2    16381.63    13433.88    82.01
487.6    16130.24    13232.12    82.03
489.0    16790.91    13776.31    82.05
490.5    17400.60    14244.30    81.86
491.9    17738.24    14492.54    81.70
493.3    17868.79    14584.68    81.62
494.8    17987.20    14672.00    81.57
496.2    17982.03    14656.46    81.51
497.6    17636.85    14376.60    81.51
499.0    17246.89    14048.21    81.45
500.5    16819.53    13698.63    81.44
501.9    16584.48    13509.05    81.46
503.3    16463.36    13409.66    81.45
504.7    16685.42    13588.78    81.44
506.1    16937.88    13786.38    81.39
507.6    17168.40    13967.85    81.36
509.0    17272.00    14045.77    81.32
510.4    17451.23    14195.13    81.34
511.8    17470.26    14205.68    81.31
513.2    17267.99    14043.17    81.32
514.7    16926.37    13765.34    81.32
516.1    16322.02    13278.98    81.36
517.5    15838.65    12897.39    81.43
518.9    15769.59    12866.06    81.59
520.3    16250.21    13289.08    81.78
521.7    16667.23    13632.66    81.79
523.2    16899.07    13811.45    81.73
524.6    16958.15    13858.73    81.72
526.0    16841.70    13774.66    81.79
527.4    16821.34    13790.70    81.98
528.8    17123.92    14077.58    82.21
530.2    17483.39    14392.19    82.32
531.6    17524.80    14437.20    82.38
533.0    17439.12    14393.48    82.54
534.4    17430.17    14430.93    82.79
535.8    17359.29    14419.08    83.06
537.2    17147.13    14285.04    83.31
538.7    16797.90    14036.82    83.56
540.1    16509.73    13843.79    83.85
541.5    16400.97    13812.74    84.22
542.9    16556.89    14005.20    84.59
544.3    16709.44    14188.61    84.91
545.7    16796.07    14313.51    85.22
547.1    16819.53    14389.90    85.55
548.5    16933.06    14538.19    85.86
549.9    17042.47    14679.27    86.13
551.3    17082.45    14757.75    86.39
552.7    17215.80    14910.00    86.61
554.1    17286.26    15000.23    86.78
555.5    17298.56    15035.44    86.92
556.9    17106.12    14886.72    87.03
558.2    16877.07    14718.38    87.21
559.7    16700.56    14582.40    87.32
561.0    16581.34    14496.30    87.43
562.4    16453.65    14385.78    87.43
563.8    16222.36    14180.83    87.42
565.2    15991.92    13965.00    87.33
566.6    15740.18    13723.29    87.19
568.0    15534.50    13511.86    86.98
569.4    15296.81    13270.72    86.75
570.8    15269.69    13215.35    86.55
572.2    15373.69    13266.11    86.29
573.6    15459.76    13295.10    86.00
575.0    15458.65    13244.22    85.68
576.3    15418.10    13155.45    85.32
577.7    15446.74    13131.88    85.01
579.1    15585.44    13194.76    84.66
580.5    15835.74    13348.53    84.29
581.9    16086.83    13498.42    83.91
583.2    16278.38    13591.67    83.50
584.6    16216.74    13475.78    83.10
586.0    15820.42    13064.53    82.58
587.4    14862.26    12194.77    82.05
588.8    13846.55    11305.19    81.65
590.2    13144.67    10706.60    81.45
591.5    13205.01    10754.84    81.45
592.9    13274.63    10791.69    81.30
594.3    13405.67    10889.97    81.23
595.7    13498.29    10955.86    81.16
597.0    13806.21    11209.29    81.19
598.4    14118.20    11453.72    81.13
599.8    14388.84    11666.14    81.08
601.2    14650.07    11874.87    81.06
602.5    14908.14    12080.52    81.03
603.9    15149.01    12273.50    81.02
605.3    15307.48    12390.70    80.95
606.7    15340.26    12410.80    80.90
608.0    15298.54    12371.14    80.86
609.4    15238.18    12321.56    80.86
610.8    15180.00    12267.40    80.81
612.1    15078.80    12179.26    80.77
613.5    14984.55    12096.18    80.72
614.9    14798.70    11939.45    80.68
616.2    14693.02    11842.53    80.60
617.6    14634.24    11786.81    80.54
619.0    14683.55    11822.29    80.51
620.3    14649.85    11780.93    80.42
621.7    14557.81    11687.50    80.28
623.0    14377.11    11517.99    80.11
624.4    14212.80    11369.93    80.00
625.8    14013.04    11181.95    79.80
627.1    13786.89    10978.95    79.63
628.5    13636.80    10838.40    79.48
629.8    13574.88    10782.94    79.43
631.2    13619.51    10805.88    79.34
632.6    13695.40    10854.66    79.26
633.9    13819.43    10926.03    79.06
635.3    13964.18    11009.34    78.84
636.6    14046.83    11052.06    78.68
