nm       Rad_ref     Rad_target  Reflectance
341.3    1225.67     913.80      74.56
342.7    1426.78     1034.03     72.47
344.2    1633.68     1144.26     70.04
345.6    1912.77     1307.73     68.37
347.1    2246.45     1518.79     67.61
348.5    2601.48     1799.67     69.18
350.0    3009.40     2056.10     68.32
351.4    3558.14     2430.00     68.29
352.9    4086.46     2832.28     69.31
354.3    4441.40     3135.84     70.60
355.8    4740.12     3409.20     71.92
357.2    4980.59     3647.82     73.24
358.7    5268.93     3917.02     74.34
360.1    5504.44     4165.65     75.68
361.6    5894.12     4529.08     76.84
363.1    6574.76     5120.27     77.88
364.5    7338.24     5772.71     78.67
366.0    7712.60     6114.75     79.28
367.4    7782.66     6213.47     79.84
368.9    7936.68     6380.58     80.39
370.3    8147.93     6572.92     80.67
371.8    8035.06     6487.26     80.74
373.2    7554.89     6090.10     80.61
374.7    7484.95     6005.73     80.24
376.2    8317.08     6638.51     79.82
377.6    9085.04     7213.58     79.40
379.1    9144.46     7237.67     79.15
380.5    8260.10     6559.53     79.41
382.0    7444.75     5951.57     79.94
383.4    7228.19     5838.94     80.78
384.9    7723.03     6307.60     81.67
386.4    8252.20     6799.33     82.39
387.8    8464.50     7056.82     83.37
389.3    8890.45     7489.33     84.24
390.7    9191.48     7794.47     84.80
392.2    8917.65     7607.20     85.30
393.6    8737.18     7510.09     85.96
395.1    8742.30     7562.82     86.51
396.5    9464.24     8208.20     86.73
398.0    10704.54    9330.19     87.16
399.5    12892.45    11258.01    87.32
400.9    14378.65    12552.47    87.30
402.4    14654.97    12799.82    87.34
403.8    14173.85    12384.85    87.38
405.3    13836.90    12078.00    87.29
406.8    14147.10    12334.00    87.18
408.2    14612.70    12715.79    87.02
409.7    14847.41    12905.35    86.92
411.1    14749.89    12814.20    86.88
412.6    14814.70    12839.06    86.66
414.0    14925.93    12917.12    86.54
415.5    15145.58    13076.93    86.34
416.9    15134.61    13054.65    86.26
418.4    14746.70    12707.67    86.17
419.8    14288.58    12303.04    86.10
421.3    13879.85    11941.36    86.03
422.7    13655.67    11729.67    85.90
424.2    13504.14    11591.04    85.83
425.6    13511.48    11592.15    85.79
427.1    13446.54    11525.08    85.71
428.5    12801.19    10956.02    85.59
430.0    12195.12    10433.05    85.55
431.5    12300.68    10508.03    85.43
432.9    13099.05    11177.75    85.33
434.4    13921.91    11868.47    85.25
435.8    14541.24    12376.71    85.11
437.2    14950.16    12705.00    84.98
438.7    15224.33    12923.67    84.89
440.1    15622.80    13263.61    84.90
441.6    16140.71    13685.47    84.79
443.0    16358.63    13862.05    84.74
444.5    16274.39    13790.17    84.74
445.9    16446.50    13938.25    84.75
447.4    16845.32    14289.98    84.83
448.8    17622.83    14947.30    84.82
450.3    18332.61    15550.27    84.82
451.7    18565.56    15744.65    84.81
453.1    18344.03    15553.36    84.79
454.6    17983.50    15253.95    84.82
456.0    18007.90    15277.53    84.84
457.5    17982.61    15254.96    84.83
458.9    17950.31    15225.91    84.82
460.4    18080.01    15332.45    84.80
461.8    18423.07    15620.72    84.79
463.2    18642.42    15795.98    84.73
464.7    18642.90    15775.96    84.62
466.1    18415.93    15564.65    84.52
467.5    18139.01    15319.73    84.46
469.0    17783.77    15007.23    84.39
470.4    17628.98    14865.26    84.32
471.9    17642.76    14861.96    84.24
473.3    17864.06    15032.20    84.15
474.7    17992.91    15118.37    84.02
476.2    18180.70    15259.72    83.93
477.6    18517.60    15528.05    83.86
479.0    19013.94    15922.15    83.74
480.5    19209.52    16070.81    83.66
481.9    19005.52    15876.68    83.54
483.3    18406.08    15354.18    83.42
484.8    17307.62    14423.26    83.33
486.2    16381.63    13642.12    83.28
487.6    16130.24    13427.00    83.24
489.0    16790.91    13973.78    83.22
490.5    17400.60    14465.18    83.13
491.9    17738.24    14732.60    83.06
493.3    17868.79    14835.43    83.02
494.8    17987.20    14928.48    83.00
496.2    17982.03    14915.67    82.95
497.6    17636.85    14627.45    82.94
499.0    17246.89    14302.65    82.93
500.5    16819.53    13945.35    82.91
501.9    16584.48    13752.00    82.92
503.3    16463.36    13650.89    82.92
