nm       Rad_ref     Rad_target  Reflectance
341.3    1225.67     955.06      77.92
342.7    1426.78     1076.36     75.44
344.2    1633.68     1197.62     73.31
345.6    1912.77     1387.68     72.55
347.1    2246.45     1611.00     71.71
348.5    2601.48     1856.72     71.37
350.0    3009.40     2138.34     71.06
351.4    3558.14     2539.41     71.37
352.9    4086.46     2965.12     72.56
354.3    4441.40     3264.39     73.50
355.8    4740.12     3542.40     74.73
357.2    4980.59     3779.07     75.88
358.7    5268.93     4053.51     76.93
360.1    5504.44     4300.02     78.12
361.6    5894.12     4676.91     79.35
363.1    6574.76     5283.95     80.37
364.5    7338.24     5943.95     81.00
366.0    7712.60     6286.46     81.51
367.4    7782.66     6386.25     82.06
368.9    7936.68     6550.07     82.53
370.3    8147.93     6731.33     82.61
371.8    8035.06     6637.23     82.60
373.2    7554.89     6240.82     82.61
374.7    7484.95     6166.93     82.39
376.2    8317.08     6825.89     82.07
377.6    9085.04     7409.55     81.56
379.1    9144.46     7428.64     81.24
380.5    8260.10     6721.08     81.37
382.0    7444.75     6097.97     81.91
383.4    7228.19     5984.36     82.79
384.9    7723.03     6456.80     83.60
386.4    8252.20     6954.33     84.27
387.8    8464.50     7208.18     85.16
389.3    8890.45     7643.56     85.97
390.7    9191.48     7946.96     86.46
392.2    8917.65     7740.20     86.80
393.6    8737.18     7632.56     87.36
395.1    8742.30     7682.00     87.87
396.5    9464.24     8353.75     88.27
398.0    10704.54    9502.71     88.77
399.5    12892.45    11456.61    88.86
400.9    14378.65    12748.25    88.66
402.4    14654.97    12988.84    88.63
403.8    14173.85    12557.42    88.60
405.3    13836.90    12248.00    88.52
406.8    14147.10    12526.00    88.54
408.2    14612.70    12924.91    88.45
409.7    14847.41    13118.86    88.36
411.1    14749.89    13021.71    88.28
412.6    14814.70    13054.43    88.12
414.0    14925.93    13138.79    88.03
415.5    15145.58    13315.61    87.92
416.9    15134.61    13297.16    87.86
418.4    14746.70    12937.09    87.73
419.8    14288.58    12522.35    87.64
421.3    13879.85    12163.13    87.63
422.7    13655.67    11960.26    87.58
424.2    13504.14    11825.80    87.57
425.6    13511.48    11823.31    87.51
427.1    13446.54    11743.58    87.34
428.5    12801.19    11161.59    87.19
430.0    12195.12    10637.88    87.23
431.5    12300.68    10732.38    87.25
432.9    13099.05    11428.85    87.25
434.4    13921.91    12132.67    87.15
435.8    14541.24    12650.94    87.00
437.2    14950.16    12984.40    86.85
438.7    15224.33    13206.70    86.75
440.1    15622.80    13556.30    86.77
441.6    16140.71    13993.56    86.70
443.0    16358.63    14172.95    86.64
444.5    16274.39    14093.92    86.60
445.9    16446.50    14246.13    86.62
447.4    16845.32    14616.06    86.77
448.8    17622.83    15295.80    86.80
450.3    18332.61    15902.71    86.75
451.7    18565.56    16086.91    86.65
453.1    18344.03    15884.59    86.59
454.6    17983.50    15583.79    86.66
456.0    18007.90    15612.46    86.70
457.5    17982.61    15591.80    86.70
458.9    17950.31    15562.30    86.70
460.4    18080.01    15674.62    86.70
461.8    18423.07    15968.65    86.68
463.2    18642.42    16142.24    86.59
464.7    18642.90    16118.23    86.46
466.1    18415.93    15900.68    86.34
467.5    18139.01    15654.93    86.31
469.0    17783.77    15339.45    86.26
470.4    17628.98    15202.10    86.23
471.9    17642.76    15205.19    86.18
473.3    17864.06    15379.73    86.09
474.7    17992.91    15465.18    85.95
476.2    18180.70    15611.81    85.87
477.6    18517.60    15888.10    85.80
479.0    19013.94    16291.31    85.68
480.5    19209.52    16437.02    85.57
481.9    19005.52    16240.71    85.45
483.3    18406.08    15708.51    85.34
484.8    17307.62    14754.76    85.25
486.2    16381.63    13957.27    85.20
487.6    16130.24    13747.93    85.23
489.0    16790.91    14319.88    85.28
490.5    17400.60    14822.18    85.18
491.9    17738.24    15094.17    85.09
493.3    17868.79    15196.97    85.05
494.8    17987.20    15291.15    85.01
496.2    17982.03    15275.27    84.95
497.6    17636.85    14981.59    84.94
499.0    17246.89    14645.92    84.92
500.5    16819.53    14277.73    84.89
501.9    16584.48    14077.80    84.89
503.3    16463.36    13977.95    84.90
504.7    16685.42    14170.63    84.93
506.1    16937.88    14380.56    84.90
507.6    17168.40    14575.59    84.90
509.0    17272.00    14656.06    84.85
510.4    17451.23    14809.52    84.86
511.8    17470.26    14822.22    84.84
513.2    17267.99    14644.06    84.80
514.7    16926.37    14348.54    84.77
516.1    16322.02    13830.27    84.73
517.5    15838.65    13430.99    84.80
518.9    15769.59    13394.28    84.94
520.3    16250.21    13821.46    85.05
521.7    16667.23    14176.52    85.06
