nm       Rad_ref     Rad_target  Reflectance
341.3  2279.01  136.19  5.98
342.7  2679.67  135.69  5.06
344.2  3046.55  156.52  5.14
345.6  3499.79  162.07  4.63
347.1  4065.86  171.84  4.23
348.5  4743.30  191.69  4.04
350.0  5473.71  207.55  3.79
351.4  6426.36  246.74  3.84
352.9  7413.40  265.83  3.59
354.3  8117.01  287.95  3.55
355.8  8689.37  297.00  3.42
357.2  9010.91  313.16  3.48
358.7  9397.57  324.73  3.46
360.1  9901.66  335.47  3.39
361.6  10732.70  354.80  3.31
363.1  11936.57  396.68  3.32
364.5  13174.20  440.62  3.34
366.0  13884.93  459.61  3.31
367.4  14143.55  469.48  3.32
368.9  14503.89  482.86  3.33
370.3  14776.40  497.66  3.37
371.8  14503.60  490.66  3.38
373.2  13679.76  472.14  3.45
374.7  13649.74  471.94  3.46
376.2  15133.44  525.93  3.48
377.6  16462.86  573.79  3.49
379.1  16550.75  585.86  3.54
380.5  15085.82  542.70  3.60
382.0  13659.64  503.25  3.68
383.4  13187.18  486.55  3.69
384.9  13913.97  519.37  3.73
386.4  14848.11  559.24  3.77
387.8  15322.50  585.90  3.82
389.3  16232.27  631.92  3.89
390.7  16860.30  666.57  3.95
392.2  16283.00  657.02  4.04
393.6  15745.21  653.49  4.15
395.1  15672.86  662.40  4.23
396.5  17125.11  733.33  4.28
398.0  19566.83  843.39  4.31
399.5  23472.63  1027.42  4.38
400.9  26025.87  1164.29  4.47
402.4  26538.86  1213.62  4.57
403.8  25890.71  1208.68  4.67
405.3  25457.14  1213.08  4.77
406.8  25985.14  1264.56  4.87
408.2  26694.71  1323.92  4.96
409.7  27061.29  1371.26  5.07
411.1  27042.51  1396.68  5.16
412.6  27327.66  1440.23  5.27
414.0  27645.00  1485.61  5.37
415.5  27968.25  1532.58  5.48
416.9  27841.50  1546.75  5.56
418.4  27106.29  1531.62  5.65
419.8  26350.11  1513.94  5.75
421.3  25761.66  1503.70  5.84
422.7  25427.61  1506.46  5.92
424.2  25156.67  1509.89  6.00
425.6  25148.77  1524.54  6.06
427.1  24945.64  1530.93  6.14
428.5  23746.71  1471.32  6.20
430.0  22657.60  1421.34  6.27
431.5  22918.03  1447.72  6.32
432.9  24440.40  1557.66  6.37
434.4  25997.55  1668.74  6.42
435.8  27148.65  1759.59  6.48
437.2  27878.40  1817.90  6.52
438.7  28306.10  1860.93  6.57
440.1  28920.11  1913.37  6.62
441.6  29871.74  1988.31  6.66
443.0  30437.68  2043.23  6.71
444.5  30448.46  2057.60  6.76
445.9  30806.57  2096.77  6.81
447.4  31530.96  2165.18  6.87
448.8  32915.68  2273.04  6.91
450.3  34177.39  2377.30  6.96
451.7  34547.31  2418.62  7.00
453.1  34105.50  2404.71  7.05
454.6  33461.03  2372.56  7.09
456.0  33620.43  2398.96  7.14
457.5  33684.81  2417.55  7.18
458.9  33662.46  2431.71  7.22
460.4  33878.57  2461.46  7.27
461.8  34480.49  2513.10  7.29
463.2  34855.84  2551.69  7.32
464.7  34781.62  2559.34  7.36
466.1  34293.50  2538.36  7.40
467.5  33798.00  2512.92  7.44
469.0  33238.51  2480.69  7.46
470.4  33046.65  2478.57  7.50
471.9  33113.98  2497.50  7.54
473.3  33531.25  2542.50  7.58
474.7  33761.27  2567.62  7.61
476.2  34064.75  2601.03  7.64
477.6  34620.06  2653.14  7.66
479.0  35380.80  2728.08  7.71
480.5  35647.31  2764.90  7.76
481.9  35303.66  2752.57  7.80
483.3  34372.80  2691.36  7.83
484.8  32529.62  2561.83  7.88
486.2  30898.21  2449.20  7.93
487.6  30423.49  2426.31  7.98
489.0  31613.10  2535.36  8.02
490.5  32710.50  2637.81  8.06
491.9  33255.11  2702.28  8.13
493.3  33417.53  2738.30  8.19
494.8  33618.29  2783.36  8.28
496.2  33668.17  2814.22  8.36
497.6  33129.00  2797.20  8.44
499.0  32528.45  2776.83  8.54
500.5  31789.03  2746.39  8.64
501.9  31371.69  2746.66  8.76
503.3  31122.00  2765.30  8.89
504.7  31505.13  2846.65  9.04
506.1  31961.12  2937.77  9.19
507.6  32380.07  3031.26  9.36
509.0  32554.93  3106.74  9.54
510.4  32859.75  3203.47  9.75
511.8  32939.94  3283.61  9.97
513.2  32626.80  3329.99  10.21
514.7  32076.00  3360.61  10.48
516.1  31014.66  3339.91  10.77
517.5  30156.49  3342.56  11.08
518.9  30026.44  3430.57  11.43
520.3  30948.81  3642.55  11.77
521.7  31793.30  3849.00  12.11
523.2  32285.13  4017.06  12.44
524.6  32437.07  4141.30  12.77
526.0  32249.49  4215.64  13.07
527.4  32220.96  4311.45  13.38
528.8  32783.14  4478.38  13.66
530.2  33492.60  4652.74  13.89
531.6  33586.29  4737.60  14.11
533.0  33430.89  4784.79  14.31
534.4  33444.09  4844.75  14.49
535.8  33371.74  4884.98  14.64
537.2  33049.50  4884.26  14.78
