nm       Rad_ref     Rad_target  Reflectance
341.3    260.70      35.02       13.43
342.7    279.37      27.94       10.00
344.2    297.39      39.13       13.16
345.6    312.83      41.46       13.25
347.1    336.52      50.12       14.89
348.5    349.15      44.50       12.75
350.0    357.62      41.51       11.61
351.4    388.16      30.09       7.75
352.9    415.72      33.94       8.16
354.3    439.64      38.57       8.77
355.8    484.70      30.89       6.37
357.2    539.70      39.98       7.41
358.7    569.84      31.43       5.52
360.1    580.33      34.70       5.98
361.6    599.61      35.48       5.92
363.1    661.70      43.89       6.63
364.5    705.98      52.42       7.43
366.0    727.19      42.50       5.84
367.4    733.10      38.51       5.25
368.9    774.55      42.48       5.48
370.3    826.64      51.58       6.24
371.8    878.09      53.73       6.12
373.2    899.44      54.64       6.07
374.7    909.79      51.83       5.70
376.2    963.53      59.80       6.21
377.6    1029.25     64.67       6.28
379.1    1063.68     60.94       5.73
380.5    1077.20     60.15       5.58
382.0    1103.12     63.07       5.72
383.4    1163.71     67.98       5.84
384.9    1234.34     72.85       5.90
386.4    1282.16     68.20       5.32
387.8    1296.00     74.25       5.73
389.3    1320.68     70.07       5.31
390.7    1381.50     77.11       5.58
392.2    1482.95     87.78       5.92
393.6    1571.39     86.31       5.49
395.1    1592.52     88.32       5.55
396.5    1581.66     90.65       5.73
398.0    1615.28     96.65       5.98
399.5    1714.58     96.65       5.64
400.9    1814.41     102.30      5.64
402.4    1861.79     101.70      5.46
403.8    1857.24     100.50      5.41
405.3    1887.60     109.56      5.80
406.8    1974.72     110.88      5.61
408.2    2068.96     115.24      5.57
409.7    2117.87     121.95      5.76
411.1    2134.34     119.33      5.59
412.6    2145.60     120.69      5.63
414.0    2202.48     125.02      5.68
415.5    2281.52     128.16      5.62
416.9    2359.13     133.16      5.64
418.4    2383.86     136.68      5.73
419.8    2366.76     136.92      5.79
421.3    2365.64     138.86      5.87
422.7    2395.84     137.92      5.76
424.2    2455.40     140.24      5.71
425.6    2534.04     144.99      5.72
427.1    2628.18     150.48      5.73
428.5    2691.39     155.78      5.79
430.0    2709.39     158.03      5.83
431.5    2735.76     156.99      5.74
432.9    2796.42     159.03      5.69
434.4    2883.80     162.53      5.64
435.8    2986.73     167.47      5.61
437.2    3110.91     174.24      5.60
438.7    3247.72     182.53      5.62
440.1    3356.51     188.94      5.63
441.6    3412.40     192.93      5.65
443.0    3428.33     193.73      5.65
444.5    3462.86     195.25      5.64
445.9    3542.03     199.39      5.63
