nm       Rad_ref     Rad_target  Reflectance
341.3    260.70      19.46       7.46
342.7    279.37      27.94       10.00
344.2    297.39      31.30       10.52
345.6    312.83      37.69       12.05
347.1    336.52      42.96       12.77
348.5    349.15      37.65       10.78
350.0    357.62      38.32       10.72
351.4    388.16      36.11       9.30
352.9    415.72      25.45       6.12
354.3    439.64      15.43       3.51
355.8    484.70      28.51       5.88
357.2    539.70      31.09       5.76
358.7    569.84      46.09       8.09
360.1    580.33      40.49       6.98
361.6    599.61      40.80       6.80
363.1    661.70      35.45       5.36
364.5    705.98      39.31       5.57
366.0    727.19      37.78       5.20
367.4    733.10      37.03       5.05
368.9    774.55      39.65       5.12
370.3    826.64      43.21       5.23
371.8    878.09      49.49       5.64
373.2    899.44      49.04       5.45
374.7    909.79      46.38       5.10
376.2    963.53      47.57       4.94
377.6    1029.25     42.66       4.14
379.1    1063.68     47.09       4.43
380.5    1077.20     53.31       4.95
382.0    1103.12     59.05       5.35
383.4    1163.71     59.99       5.16
384.9    1234.34     58.01       4.70
386.4    1282.16     58.65       4.57
387.8    1296.00     62.10       4.79
389.3    1320.68     63.46       4.81
390.7    1381.50     61.43       4.45
392.2    1482.95     67.83       4.57
393.6    1571.39     76.72       4.88
395.1    1592.52     74.52       4.68
396.5    1581.66     78.47       4.96
398.0    1615.28     75.47       4.67
399.5    1714.58     82.09       4.79
400.9    1814.41     80.76       4.45
402.4    1861.79     82.72       4.44
403.8    1857.24     83.08       4.47
405.3    1887.60     83.16       4.41
406.8    1974.72     92.40       4.68
408.2    2068.96     100.50      4.86
409.7    2117.87     104.34      4.93
411.1    2134.34     103.06      4.83
412.6    2145.60     101.92      4.75
414.0    2202.48     98.42       4.47
415.5    2281.52     104.13      4.56
416.9    2359.13     111.64      4.73
418.4    2383.86     113.90      4.78
419.8    2366.76     117.36      4.96
421.3    2365.64     111.34      4.71
422.7    2395.84     108.20      4.52
424.2    2455.40     113.10      4.61
425.6    2534.04     122.27      4.83
427.1    2628.18     124.36      4.73
428.5    2691.39     125.63      4.67
430.0    2709.39     125.66      4.64
431.5    2735.76     123.10      4.50
432.9    2796.42     130.57      4.67
434.4    2883.80     135.71      4.71
435.8    2986.73     141.19      4.73
437.2    3110.91     145.20      4.67
438.7    3247.72     151.16      4.65
440.1    3356.51     155.81      4.64
441.6    3412.40     159.62      4.68
443.0    3428.33     162.00      4.73
444.5    3462.86     164.56      4.75
