nm       Rad_ref     Rad_target  Reflectance
341.3    260.70      54.47       20.89
342.7    279.37      55.87       20.00
344.2    297.39      46.96       15.79
345.6    312.83      52.77       16.87
347.1    336.52      53.70       15.96
348.5    349.15      58.19       16.67
350.0    357.62      54.28       15.18
351.4    388.16      45.14       11.63
352.9    415.72      39.59       9.52
354.3    439.64      43.71       9.94
355.8    484.70      40.39       8.33
357.2    539.70      39.98       7.41
358.7    569.84      41.90       7.35
360.1    580.33      42.42       7.31
361.6    599.61      40.80       6.80
363.1    661.70      38.82       5.87
364.5    705.98      42.59       6.03
366.0    727.19      42.50       5.84
367.4    733.10      41.47       5.66
368.9    774.55      39.65       5.12
370.3    826.64      39.03       4.72
371.8    878.09      49.49       5.64
373.2    899.44      46.23       5.14
374.7    909.79      40.92       4.50
376.2    963.53      44.85       4.65
377.6    1029.25     49.54       4.81
379.1    1063.68     52.63       4.95
380.5    1077.20     54.68       5.08
382.0    1103.12     51.00       4.62
383.4    1163.71     51.99       4.47
384.9    1234.34     59.36       4.81
386.4    1282.16     60.02       4.68
387.8    1296.00     62.10       4.79
389.3    1320.68     58.17       4.40
390.7    1381.50     62.74       4.54
392.2    1482.95     62.51       4.22
393.6    1571.39     61.65       3.92
395.1    1592.52     66.24       4.16
396.5    1581.66     66.30       4.19
398.0    1615.28     64.88       4.02
399.5    1714.58     72.82       4.25
400.9    1814.41     78.07       4.30
402.4    1861.79     81.36       4.37
403.8    1857.24     73.70       3.97
405.3    1887.60     73.92       3.92
406.8    1974.72     80.52       4.08
408.2    2068.96     84.42       4.08
409.7    2117.87     90.79       4.29
411.1    2134.34     89.50       4.19
412.6    2145.60     91.19       4.25
414.0    2202.48     91.77       4.17
415.5    2281.52     96.12       4.21
416.9    2359.13     102.22      4.33
418.4    2383.86     104.52      4.38
419.8    2366.76     104.32      4.41
421.3    2365.64     105.08      4.44
422.7    2395.84     103.44      4.32
424.2    2455.40     109.71      4.47
425.6    2534.04     117.94      4.65
427.1    2628.18     124.36      4.73
428.5    2691.39     124.62      4.63
430.0    2709.39     124.71      4.60
431.5    2735.76     122.20      4.47
432.9    2796.42     128.06      4.58
434.4    2883.80     130.19      4.51
435.8    2986.73     139.69      4.68
437.2    3110.91     142.30      4.57
438.7    3247.72     152.58      4.70
440.1    3356.51     157.22      4.68
441.6    3412.40     159.62      4.68
443.0    3428.33     163.35      4.76
444.5    3462.86     169.13      4.88
445.9    3542.03     175.90      4.97
447.4    3644.92     185.98      5.10
448.8    3763.80     195.57      5.20
450.3    3901.29     207.93      5.33
451.7    4029.17     219.02      5.44
453.1    4115.16     228.69      5.56
454.6    4144.41     232.84      5.62
456.0    4173.69     238.01      5.70
457.5    4219.07     242.19      5.74
458.9    4292.09     253.38      5.90
460.4    4388.04     261.32      5.96
461.8    4509.22     273.23      6.06
463.2    4648.19     281.31      6.05
464.7    4775.41     294.05      6.16
466.1    4870.32     298.71      6.13
467.5    4907.81     301.86      6.15
469.0    4931.81     308.64      6.26
470.4    4971.15     314.68      6.33
471.9    5048.00     323.07      6.40
473.3    5142.50     331.88      6.45
474.7    5261.50     340.86      6.48
476.2    5402.66     352.62      6.53
477.6    5589.41     369.09      6.60
