nm       Rad_ref     Rad_target  Reflectance
341.3    260.70      66.15       25.37
342.7    279.37      79.82       28.57
344.2    297.39      74.35       25.00
345.6    312.83      64.07       20.48
347.1    336.52      64.44       19.15
348.5    349.15      61.61       17.65
350.0    357.62      57.47       16.07
351.4    388.16      54.16       13.95
352.9    415.72      50.90       12.24
354.3    439.64      48.85       11.11
355.8    484.70      54.65       11.28
357.2    539.70      53.30       9.88
358.7    569.84      50.28       8.82
360.1    580.33      50.13       8.64
361.6    599.61      53.22       8.88
363.1    661.70      43.89       6.63
364.5    705.98      44.23       6.27
366.0    727.19      45.65       6.28
367.4    733.10      45.91       6.26
368.9    774.55      52.39       6.76
370.3    826.64      47.40       5.73
371.8    878.09      46.66       5.31
373.2    899.44      46.23       5.14
374.7    909.79      53.20       5.85
376.2    963.53      57.08       5.92
377.6    1029.25     57.79       5.61
379.1    1063.68     54.02       5.08
380.5    1077.20     54.68       5.08
382.0    1103.12     55.02       4.99
383.4    1163.71     65.32       5.61
384.9    1234.34     67.45       5.46
386.4    1282.16     65.47       5.11
387.8    1296.00     64.80       5.00
389.3    1320.68     62.13       4.70
390.7    1381.50     65.35       4.73
392.2    1482.95     75.81       5.11
393.6    1571.39     82.20       5.23
395.1    1592.52     75.90       4.77
396.5    1581.66     74.42       4.71
398.0    1615.28     76.79       4.75
399.5    1714.58     76.79       4.48
400.9    1814.41     86.14       4.75
402.4    1861.79     84.07       4.52
403.8    1857.24     84.42       4.55
405.3    1887.60     88.44       4.69
406.8    1974.72     92.40       4.68
408.2    2068.96     96.48       4.66
409.7    2117.87     104.34      4.93
411.1    2134.34     98.99       4.64
412.6    2145.60     100.58      4.69
414.0    2202.48     106.40      4.83
415.5    2281.52     113.48      4.97
416.9    2359.13     115.67      4.90
418.4    2383.86     115.24      4.83
419.8    2366.76     116.06      4.90
421.3    2365.64     122.60      5.18
422.7    2395.84     123.66      5.16
424.2    2455.40     128.93      5.25
425.6    2534.04     132.00      5.21
427.1    2628.18     133.76      5.09
428.5    2691.39     140.70      5.23
430.0    2709.39     142.80      5.27
431.5    2735.76     147.18      5.38
432.9    2796.42     153.17      5.48
434.4    2883.80     159.38      5.53
435.8    2986.73     165.22      5.53
437.2    3110.91     172.06      5.53
438.7    3247.72     181.10      5.58
440.1    3356.51     190.35      5.67
441.6    3412.40     195.71      5.74
443.0    3428.33     198.45      5.79
444.5    3462.86     200.47      5.79
445.9    3542.03     205.11      5.79
447.4    3644.92     210.24      5.77
448.8    3763.80     218.94      5.82
450.3    3901.29     228.29      5.85
451.7    4029.17     237.12      5.89
453.1    4115.16     245.70      5.97
454.6    4144.41     250.51      6.04
456.0    4173.69     255.60      6.12
457.5    4219.07     260.20      6.17
458.9    4292.09     269.99      6.29
460.4    4388.04     281.52      6.42
461.8    4509.22     294.11      6.52
463.2    4648.19     311.12      6.69
464.7    4775.41     326.23      6.83
466.1    4870.32     337.17      6.92
467.5    4907.81     348.30      7.10
469.0    4931.81     357.51      7.25
470.4    4971.15     371.37      7.47
471.9    5048.00     384.28      7.61
473.3    5142.50     394.38      7.67
474.7    5261.50     405.54      7.71
476.2    5402.66     420.53      7.78
477.6    5589.41     441.14      7.89
479.0    5786.64     460.73      7.96
480.5    5904.29     472.77      8.01
481.9    5927.11     483.89      8.16
483.3    5888.06     487.87      8.29
484.8    5860.26     491.28      8.38
486.2    5874.05     499.20      8.50
487.6    5964.66     517.42      8.67
489.0    6115.65     543.29      8.88
490.5    6299.37     574.56      9.12
491.9    6479.39     608.95      9.40
493.3    6621.16     643.10      9.71
494.8    6702.08     678.40      10.12
496.2    6741.75     709.46      10.52
497.6    6747.93     738.99      10.95
499.0    6773.10     776.23      11.46
500.5    6838.71     821.13      12.01
501.9    6946.24     877.93      12.64
503.3    7082.60     940.68      13.28
504.7    7225.58     1009.19     13.97
