nm       Rad_ref     Rad_target  Reflectance
341.3    260.70      36.96       14.18
342.7    279.37      35.92       12.86
344.2    297.39      43.04       14.47
345.6    312.83      35.81       11.45
347.1    336.52      35.80       10.64
348.5    349.15      35.94       10.29
350.0    357.62      41.51       11.61
351.4    388.16      31.59       8.14
352.9    415.72      32.52       7.82
354.3    439.64      32.14       7.31
355.8    484.70      35.64       7.35
357.2    539.70      37.76       7.00
358.7    569.84      29.33       5.15
360.1    580.33      30.85       5.32
361.6    599.61      36.37       6.07
363.1    661.70      41.36       6.25
364.5    705.98      42.59       6.03
366.0    727.19      40.14       5.52
367.4    733.10      40.73       5.56
368.9    774.55      41.77       5.39
370.3    826.64      41.12       4.97
371.8    878.09      47.37       5.39
373.2    899.44      46.23       5.14
374.7    909.79      49.79       5.47
376.2    963.53      54.36       5.64
377.6    1029.25     57.10       5.55
379.1    1063.68     56.09       5.27
380.5    1077.20     53.31       4.95
382.0    1103.12     58.38       5.29
383.4    1163.71     58.65       5.04
384.9    1234.34     64.75       5.25
386.4    1282.16     68.20       5.32
387.8    1296.00     67.50       5.21
389.3    1320.68     67.42       5.10
390.7    1381.50     69.27       5.01
392.2    1482.95     75.81       5.11
393.6    1571.39     80.15       5.10
395.1    1592.52     83.49       5.24
396.5    1581.66     83.89       5.30
398.0    1615.28     84.74       5.25
399.5    1714.58     88.71       5.17
400.9    1814.41     94.89       5.23
402.4    1861.79     95.60       5.13
403.8    1857.24     95.14       5.12
405.3    1887.60     97.68       5.17
406.8    1974.72     104.94      5.31
408.2    2068.96     109.88      5.31
409.7    2117.87     113.82      5.37
411.1    2134.34     116.62      5.46
412.6    2145.60     120.02      5.59
414.0    2202.48     121.03      5.50
415.5    2281.52     124.82      5.47
416.9    2359.13     127.78      5.42
418.4    2383.86     131.32      5.51
419.8    2366.76     133.66      5.65
421.3    2365.64     135.11      5.71
422.7    2395.84     138.52      5.78
424.2    2455.40     138.55      5.64
425.6    2534.04     143.37      5.66
427.1    2628.18     148.39      5.65
428.5    2691.39     155.78      5.79
430.0    2709.39     158.51      5.85
431.5    2735.76     159.67      5.84
432.9    2796.42     161.12      5.76
434.4    2883.80     167.66      5.81
435.8    2986.73     175.36      5.87
437.2    3110.91     182.59      5.87
438.7    3247.72     193.22      5.95
440.1    3356.51     199.52      5.94
441.6    3412.40     204.73      6.00
443.0    3428.33     208.58      6.08
444.5    3462.86     211.57      6.11
445.9    3542.03     219.71      6.20
447.4    3644.92     227.34      6.24
448.8    3763.80     234.62      6.23
450.3    3901.29     244.02      6.25
451.7    4029.17     255.84      6.35
453.1    4115.16     262.08      6.37
454.6    4144.41     265.97      6.42
456.0    4173.69     270.35      6.48
457.5    4219.07     274.48      6.51
458.9    4292.09     283.21      6.60
460.4    4388.04     291.01      6.63
461.8    4509.22     301.78      6.69
463.2    4648.19     311.12      6.69
464.7    4775.41     321.81      6.74
466.1    4870.32     331.08      6.80
467.5    4907.81     338.63      6.90
469.0    4931.81     344.33      6.98
470.4    4971.15     348.76      7.02
471.9    5048.00     355.25      7.04
473.3    5142.50     365.31      7.10
474.7    5261.50     376.62      7.16
476.2    5402.66     388.44      7.19
477.6    5589.41     404.48      7.24
479.0    5786.64     422.82      7.31
480.5    5904.29     434.59      7.36
481.9    5927.11     438.12      7.39
483.3    5888.06     439.82      7.47
484.8    5860.26     440.56      7.52
486.2    5874.05     443.95      7.56
487.6    5964.66     454.26      7.62
489.0    6115.65     469.46      7.68
490.5    6299.37     488.88      7.76
491.9    6479.39     508.30      7.84
493.3    6621.16     521.57      7.88
494.8    6702.08     531.84      7.94
496.2    6741.75     541.02      8.02
497.6    6747.93     547.47      8.11
499.0    6773.10     554.01      8.18
500.5    6838.71     565.10      8.26
501.9    6946.24     580.64      8.36
503.3    7082.60     596.70      8.42
504.7    7225.58     617.59      8.55
506.1    7371.07     636.03      8.63
507.6    7513.17     653.79      8.70
509.0    7649.64     673.13      8.80
510.4    7766.85     691.62      8.90
511.8    7846.35     707.44      9.02
513.2    7901.71     720.94      9.12
514.7    7941.97     731.71      9.21
516.1    7997.70     746.17      9.33
517.5    8078.58     761.64      9.43
518.9    8183.57     780.27      9.53
520.3    8314.99     803.02      9.66
521.7    8441.82     823.59      9.76
