nm       Rad_ref     Rad_target  Reflectance
341.3    235.82      50.58       21.45
342.7    266.07      47.89       18.00
344.2    278.65      70.43       25.28
345.6    274.11      67.84       24.75
347.1    292.91      60.86       20.78
348.5    321.55      75.31       23.42
350.0    353.17      70.25       19.89
351.4    378.40      66.20       17.49
352.9    402.78      59.39       14.75
354.3    416.81      61.70       14.80
355.8    457.20      66.53       14.55
357.2    518.23      77.74       15.00
358.7    536.45      77.52       14.45
360.1    534.58      73.26       13.70
361.6    556.39      78.06       14.03
363.1    616.38      81.02       13.14
364.5    665.13      90.09       13.54
366.0    679.68      94.44       13.89
367.4    677.67      90.34       13.33
368.9    712.29      96.29       13.52
370.3    770.92      97.58       12.66
371.8    820.55      106.05      12.92
373.2    836.35      109.28      13.07
374.7    843.20      114.58      13.59
376.2    899.82      122.31      13.59
377.6    959.03      132.10      13.77
379.1    986.29      138.50      14.04
380.5    1000.40     135.33      13.53
382.0    1028.87     142.25      13.83
383.4    1088.62     149.30      13.71
384.9    1152.78     160.53      13.93
386.4    1190.40     165.04      13.86
387.8    1202.73     163.35      13.58
389.3    1231.86     165.25      13.41
390.7    1287.20     175.14      13.61
392.2    1376.35     188.86      13.72
393.6    1450.95     198.65      13.69
395.1    1476.18     201.48      13.65
396.5    1467.80     196.19      13.37
398.0    1500.53     206.54      13.76
399.5    1586.79     222.43      14.02
400.9    1676.38     230.17      13.73
402.4    1713.49     235.94      13.77
403.8    1707.48     230.48      13.50
405.3    1726.00     236.28      13.69
406.8    1802.00     242.88      13.48
408.2    1894.27     251.92      13.30
409.7    1940.11     261.52      13.48
411.1    1947.71     259.00      13.30
412.6    1958.67     262.84      13.42
414.0    2003.06     268.66      13.41
415.5    2091.50     279.02      13.34
416.9    2166.27     283.80      13.10
418.4    2202.88     288.10      13.08
419.8    2197.04     292.10      13.30
421.3    2215.79     291.48      13.15
422.7    2259.10     294.87      13.05
424.2    2328.83     301.98      12.97
425.6    2413.19     313.78      13.00
427.1    2515.92     330.22      13.13
428.5    2579.50     337.68      13.09
430.0    2596.36     337.01      12.98
431.5    2615.18     335.39      12.82
432.9    2663.18     341.50      12.82
434.4    2736.40     354.26      12.95
435.8    2828.77     366.49      12.96
437.2    2939.20     379.70      12.92
438.7    3060.50     397.85      13.00
440.1    3158.61     409.61      12.97
441.6    3196.61     416.40      13.03
443.0    3198.07     417.15      13.04
444.5    3221.47     423.14      13.13
445.9    3281.80     436.88      13.31
447.4    3371.05     452.19      13.41
448.8    3476.61     466.79      13.43
450.3    3602.91     487.43      13.53
451.7    3716.58     509.18      13.70
453.1    3788.59     524.16      13.84
454.6    3808.95     531.93      13.97
456.0    3830.80     540.08      14.10
457.5    3866.20     552.07      14.28
458.9    3929.48     564.57      14.37
460.4    4014.16     580.18      14.45
461.8    4125.89     599.88      14.54
463.2    4251.97     618.52      14.55
464.7    4371.11     637.94      14.59
466.1    4463.69     657.67      14.73
467.5    4498.39     665.00      14.78
469.0    4516.59     670.01      14.83
470.4    4552.62     679.68      14.93
471.9    4621.60     696.62      15.07
473.3    4710.23     713.13      15.14
474.7    4819.56     734.58      15.24
476.2    4948.13     763.18      15.42
477.6    5117.28     803.27      15.70
479.0    5298.87     843.05      15.91
480.5    5403.55     879.14      16.27
481.9    5423.77     905.19      16.69
483.3    5388.22     926.69      17.20
484.8    5353.22     947.43      17.70
486.2    5356.59     981.50      18.32
487.6    5432.67     1033.56     19.02
489.0    5566.18     1109.30     19.93
490.5    5733.95     1200.78     20.94
491.9    5897.45     1305.88     22.14
493.3    6032.00     1419.55     23.53
494.8    6106.18     1533.44     25.11
496.2    6140.27     1651.14     26.89
497.6    6136.77     1775.97     28.94
499.0    6153.42     1912.71     31.08
500.5    6203.24     2071.91     33.40
501.9    6300.90     2249.48     35.70
503.3    6421.70     2435.94     37.93
504.7    6550.67     2617.18     39.95
506.1    6684.13     2792.23     41.77
507.6    6814.09     2952.60     43.33
509.0    6937.49     3093.08     44.59
510.4    7042.67     3204.04     45.49
511.8    7118.93     3279.63     46.07
513.2    7164.82     3326.02     46.42
514.7    7201.76     3349.84     46.51
516.1    7248.80     3364.50     46.41
517.5    7319.16     3371.41     46.06
518.9    7403.97     3374.04     45.57
520.3    7518.45     3382.17     44.98
521.7    7631.75     3384.38     44.35
523.2    7740.97     3374.29     43.59
524.6    7857.19     3362.59     42.80
526.0    7980.17     3348.97     41.97
527.4    8098.50     3328.38     41.10
528.8    8215.41     3304.74     40.23
530.2    8342.73     3281.50     39.33
531.6    8478.55     3260.64     38.46
533.0    8580.22     3224.04     37.58
534.4    8661.27     3177.22     36.68
535.8    8683.53     3107.99     35.79
537.2    8710.10     3040.42     34.91
538.7    8753.82     2979.50     34.04
540.1    8814.01     2923.89     33.17
541.5    8902.29     2877.29     32.32
